the_geom,cartodb_id,at_a_public_event_negative,at_a_public_event_positive,at_the_shops_negative,at_the_shops_positive,going_to_or_from_school_negative,going_to_or_from_school_positive,going_to_or_from_work_negative,going_to_or_from_work_positive,i_avoid_going_there_alone,i_never_went_back_there,i_reported_it_and_authorities_did_something,i_reported_it_but_authorities_did_nothing,i_stopped,i_told_my_friend_or_my_family,in_a_park_or_garden_negative,in_a_park_or_garden_positive,on_the_street_negative,on_the_street_positive,out_socially_negative,out_socially_positive,public_transport_negative,public_transport_positive,someone_using_alcohol_or_drugs_negative,this_happens_so_often_that_ia_m_just_used_to_it,age,created_datetime,dataset,description_negative,description_positive,description_translation,disability,ethnicity,ftb_demographics_heading,full_time_parent,gender,gender_discrimination_factor,id,in_work,location_adminarea1,location_adminarea1type,location_adminarea3,location_adminarea3type,location_adminarea4,location_adminarea4type,location_adminarea5,location_adminarea5type,location_adminarea6,location_adminarea6type,location_displaylatlng_lat,location_displaylatlng_lng,location_dragpoint,location_geocodequality,location_geocodequalitycode,location_latlng_lat,location_latlng_lng,location_linkid,location_mapurl,location_postalcode,location_sideofstreet,location_street,location_type_1,location_unknowninput,spot_type,location_what_happened_next_other,name,none,other,religion,student,submission_sets_support_length,submission_sets_support_name,submission_sets_support_url,submitter,submitter_avatar_url,submitter_id,submitter_name,submitter_provider_id,submitter_provider_type,submitter_username,time_of_day,unemployed,updated_datetime,url,user_token,visible
0101000020E61000001101D64D7A5140400B1F679CFAA7D43F,509,,,,,Going to or from school_negative,,,,,,,,,I told my friend or my family),,,On the street_negative,,,,,,,This happens so often that Iâ€™m just used to it,15,2018-05-25 09:30:55.611+00,47,When ever am going to school boys disturb me calling me names. It makes me uncomfortable. I don't know what should be done ,,,,,,,female,gender_discrimination_factor,114484,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,student,,,,,,,,,,,Morning,,2018-05-25 09:30:55.736+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/114484,session:1e0ca0d368209ed02aa7aae6c6505632,true
0101000020E61000005DFAF884E351404070A449F06192D43F,511,,,,,,,,,,,,,,I told my friend or my family),,,On the street_negative,,,,Public transport_negative,,,This happens so often that Iâ€™m just used to it,17,2018-05-25 09:33:05.426+00,47,Drivers are always over speeding. One day a car had knocked me. We need hamps,,,,,,,female,,114496,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,none,,,student,,,,,,,,,,,Anytime,,2018-05-25 09:33:05.476+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/114496,session:1e0ca0d368209ed02aa7aae6c6505632,true
0101000020E6100000A7BD9E76F35040403C180297FF54D03F,33,,,,,,,,,,,,,,,,,,,x,,,,,,22,2018-05-22 11:56:43.587+00,47,"Reporting a case, a girl and the police officer. Poor attitudes of the officers and neglegency. More sensitization on how they should do their  work.",,,,,,,female,,105151,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.255436,32.632475,false,POINT,P1AAA,0.255436,32.632475,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.2554361,32.6324752|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1591639744",6971,false,Ggaba Police Station,s,,good,,"Ggaba Police Station, Kampala Central Region",,,,student,,,,,,,,,,,Anytime,,2018-05-22 11:56:43.604+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/105151,session:cfd2ed5074b6228a7bd6241af9b4669a,true
0101000020E6100000D0110032E94C404049A7C13B58C2D33F,50,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,15,2018-05-22 12:41:19.94+00,47,,"The young girl was going  home, there was security lights, the place was comfortable, good people ",,,,,,female,,105344,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.308785,32.600865,false,POINT,P1AAA,0.308785,32.600865,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3087852,32.6008645739977|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1428223270",kibuli Restaurant,false,Silver Spoon Nursery & Primary School,s,,good,,"Silver Spoon Nursery &amp; Primary School, Kampala Central Region",,,,student,,,,,,,,,,,Evening,,2018-05-22 12:41:19.957+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/105344,session:1fffe766660efa859072da769414e1e0,true
0101000020E610000033FD7F8D854D4040427A446CBBB7D23F,225,,,,,,,,,I avoid going there alone,,,,,,,,On the street_negative,,,,Public transport_negative,,,,23,2018-05-23 14:05:04.948+00,47,"there are guys who always comment on girls body,shouting bad words to them",,,,,,,female,gender_discrimination_factor,110982,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,student,,,,,,,,,,,Anytime,,2018-05-23 14:05:04.982+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/110982,session:86e2dd07e9acfb406d952f8c82049366,true
0101000020E61000001CD3DAC6544D40400C06B0F0092CD53F,274,,,,,,,,,,,,,,,,,,On the street_positive,,,,,,,25,2018-05-24 09:05:46.125+00,47,,The place is good because we are near the police ,,,,,,female,,112166,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.330825,32.604152,false,STREET,B1AAA,0.330825,32.604152,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3308245872955418,32.60415216486616|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1164998698",24144,false,Naguru Road,s,,good,,"Naguru Road, Kampala Central Region",,,,,,,,,,,,,,,Late night,unemployed,2018-05-24 09:05:46.248+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/112166,session:1e132bbfe4456667d5e07d05555f3bd1,true
0101000020E6100000951900FC24474040144536FA1286D43F,659,,,,,,,,,,,,,,,,,,,,Out socially_positive,,,,,22,2018-05-26 09:38:32.24+00,47,,"The place is clean, the neighborhood are involved in togetherness, so the place is safe",,,,,,female,,116251,in work,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.320711,32.555845,false,STREET,B1AAA,0.320711,32.555845,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.32071062478048895,32.55584454009493|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-168877096",33903,false,Nabulagala Road,s,,good,,"Nabulagala Road, Kampala Central Region",,,,,,,,,,,,,,,Anytime,,2018-05-26 09:38:32.263+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/116251,session:1fffe766660efa859072da769414e1e0,true
0101000020E6100000D6CBBD68B94740408481394BE86DD83F,817,,,,At the shops_positive,,,,,,,,,,,,,,,,,,,,,17,2018-05-28 10:52:35.296+00,47,,"Doctors are round, people receive medicine, so the place is safe due to doctor ",,,,,,female,,120905,,UG,Country,Central Region,State,,County,,City,,Neighborhood,0.381795,32.560359,false,POINT,P1AAA,0.381795,32.560359,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.381795,32.5603592|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-1020144938",36188,false,Nina Vet Drug Store,s,,good,,"Nina Vet Drug Store,  Central Region",,,,,,,,,,,,,,,Anytime,unemployed,2018-05-28 10:52:35.313+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/120905,session:3a2e6d0a3f3dd89a79c11e831adfd0f9,true
0101000020E6100000A28919A1844A40400571E0C522E5D33F,1066,,,,,,,,,,,,,,,,,,,Out socially_negative,,,,,This happens so often that Iâ€™m just used to it,18,2018-05-29 14:01:20.985+00,47,I was verbally assaulted by a man. Idleness. Sensitising them.,,,,,,,female,,123612,in work,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.310891,32.582171,false,STREET,B1AAA,0.310891,32.582171,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3108909307900947,32.58217117601517|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-673050981",7063,false,Nasser Road,s,,bad,,"Nasser Road, Kampala Central Region",none,,,,,,,,,,,,,,Anytime,,2018-05-29 14:01:21.002+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/123612,session:277024993a6e9fb0cf4e262d4d734b26,true
0101000020E61000002A1144F8804E4040B8E687FB93B2D63F,1106,,,,,,,,,,,,I reported it but authorities did nothing,,,,,On the street_negative,,,,,,,,18,2018-05-30 10:13:30.762+00,47,"I was robbed We have many unemployed people, these should get jobs ",,,,,,,female,,124127,,UG,Country,Central Region,State,,County,Kampala,City,,Neighborhood,0.354783,32.613091,false,POINT,P1AAA,0.354783,32.613091,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=0.3547834,32.6130914|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-96798336",6884 Kampala,false,Mr. Tasty Fried Chicken,s,,bad,,"Mr. Tasty Fried Chicken, Kampala Central Region",none,,,student,,,,,,,,,,,Anytime,,2018-05-30 10:13:30.778+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobekampala/places/124127,session:76ecdd81c415047ac11caeeabea05f16,true
