the_geom,cartodb_id,at_a_public_event_negative,at_a_public_event_positive,at_the_shops_negative,at_the_shops_positive,going_to_or_from_school_negative,going_to_or_from_school_positive,going_to_or_from_work_negative,going_to_or_from_work_positive,i_avoid_going_there_alone,i_never_went_back_there,i_reported_it_and_authorities_did_something,i_reported_it_but_authorities_did_nothing,i_stopped_going_to_school_university_or_work,i_told_my_friend_or_my_family,in_a_park_or_gardennegative,in_a_park_or_garden_positive,lgbtqia,on_the_street_negative,on_the_street_positive,out_socially_negative,out_socially_positive,public_transport_negative,public_transport_positive,someone_using_alcohol_or_drugs_negative,this_happens_so_often_that_i_m_just_used_to_it,age,created_datetime,dataset,description_negative,description_positive,description_translation,disability,ethnicity,ftb_demographics_heading,full_time_parent,gender,gender_discrimination,id,in_work,location_adminarea1,location_adminarea1type,location_adminarea3,location_adminarea3type,location_adminarea4,location_adminarea4type,location_adminarea5,location_adminarea5type,location_adminarea6,location_adminarea6type,location_displaylatlng_lat,location_displaylatlng_lng,location_dragpoint,location_geocodequality,location_geocodequalitycode,location_latlng_lat,location_latlng_lng,location_linkid,location_mapurl,location_postalcode,location_sideofstreet,location_street,location_type_1,location_unknowninput,spot_type,location_what_happened_next_other,translation,name,none,other,religion,student,submission_sets_support_length,submission_sets_support_name,submission_sets_support_url,submitter,time_of_day,unemployed,updated_datetime,url,user_token,visible
,2287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E610000080F4BA36254253C05B0E9829A40D28C0,428,,,,,x,,x,,,,,,,,,,,x,,,,x,,,x,21,2018-04-30 04:46:39.399+00,46,,,,,,,,Female,x,95396,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,,,x,,,,,Evening,,2018-05-14 03:55:43.881+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95396,session:d7f560a69abe22d72fda9b5edfaa5978,true
0101000020E6100000A70300E0B44853C0230061E35FB527C0,1025,,,x,,,,,,x,,,,,,x,,,x,,,,x,,x,,18,2018-05-23 20:38:53.423+00,46,,,,,,,,Female,x,111175,x,PE,Country,Callao,State,,County,Ventanilla,City,,Neighborhood,-11.854664,-77.141413,false,STREET,B1AAA,-11.854664,-77.141413,0,"http://open.mapquestapi.com/staticmap/v5/map?key=ir1HTj413AyMaBld5Nt0uJNcaTbxwxWY&type=map&size=225,160&locations=-11.8546638,-77.1414128|marker-sm-50318A-1&scalebar=true&zoom=15&rand=-590615138",6,false,Camino del Inca,s,,bad,,,"Camino del Inca, Ventanilla Callao",,,,x,,,,,Late night,,2018-05-23 20:38:53.441+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/111175,session:e948b323255ce5bab1818d45a027f145,true
,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0101000020E6100000C50B00D6253C53C0D5CB8173C56A28C0,490,,,,,,,,,x,,,,,,,,,x,,,,x,,x,,15,2018-05-01 21:29:09.662+00,46,,,,,,,,Female,x,95551,,,,,,,,,,,,,,,,,,,,,,,,,,bad,,,,,other,,x,,,,,Anytime,,2018-05-14 03:55:44.763+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95551,session:b55d0729ca45c86112ee96cab6d84bd9,true
0101000020E6100000730640C9863E53C0933D279D863328C0,491,,,,,,,,,,,,,,,,,,,,,,,,,,18,2018-05-01 21:45:35.824+00,46,,,,,,,,Female,,95552,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,,,,,,Anytime,,2018-05-01 21:45:35.84+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/95552,session:85f92afbe429fe663bf6e02b2a7f8a9d,true
0101000020E61000001C00EC42853D53C05E99AE9DEC3528C0,139,,,,,,,,,,,,,,,,x,,,x,,,,,,,22,2018-04-27 19:42:24.878+00,46,,,,,,,,Female,,94812,,,,,,,,,,,,,,,,,,,,,,,,,,good,,,,,,,,,,,,Anytime,,2018-04-27 19:42:24.898+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94812,session:d9cb30533dc4be5382391c218fe0d48a,true
0101000020E6100000270100F47A4153C0982CE15E4F2728C0,18,,,,,,,,,,,,,,,,,,x,,,,,,,x,17,2018-04-22 16:29:03.813+00,46,un tipo me tocÃ³,,a guy touched me,,,,,Female,x,93993,,PE,Country,Lima,State,,County,La Victoria,City,,Neighborhood,-12.076835,-77.023069,false,STREET,B1AAA,-12.076835,-77.023069,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-12.076835065774766,-77.02306913138574|marker-sm-50318A-1&scalebar=true&zoom=15&rand=2023381112",27,false,Parque Union Panamericana,s,,bad,,,"Parque Union Panamericana, La Victoria Lima",,,,x,,,,,Afternoon,,2018-05-14 03:55:38.089+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/93993,session:3a749d5651e65d67379fbf5dbfe59bc4,true
0101000020E6100000CDF9FF7B9B3E53C06F7C42BE583928C0,25,,,,,,,,,,,,,,x,,,,x,,,,,,,x,25,2018-04-23 19:14:41.648+00,46,Un tipo en moto me tocÃ³,,A guy on a motorcycle touched me,,,,,Female,x,94139,,PE,Country,Lima,State,,County,Santiago de Surco,City,,Neighborhood,-12.112018,-76.978319,false,STREET,B1AAA,-12.112018,-76.978319,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-12.11201829122604,-76.97831899689194|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1100551517",33,false,Morro Solar,s,,bad,,,"Morro Solar, Santiago de Surco Lima",,,,,,,,,Afternoon,unemployed,2018-05-14 03:55:38.589+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94139,session:c36d38139fcc865015105420596208b3,true
0101000020E610000051050028164553C087D5FC51041E28C0,30,,,,,x,,,,,,,,,,,,,x,,,,,,,x,20,2018-04-23 20:28:47.644+00,46,Los encargados de las fotocopias avisan a las seÃ±oritas que transitan mediante piropos inadecuados ,,Those in charge of the photocopies warn the ladies that they pass through inappropriate compliments,,,,,Female,,94147,,PE,Country,Lima,State,,County,Lima,City,,Neighborhood,-12.058628,-77.079483,false,STREET,B1AAA,-12.058628,-77.079483,0,"http://open.mapquestapi.com/staticmap/v5/map?key=5BYmKcmrvcadSDdBQQnKh7FOLjbrkXaA&type=map&size=225,160&locations=-12.05862804273519,-77.0794828467963|marker-sm-50318A-1&scalebar=true&zoom=15&rand=1554626073",32,false,Avenida Universitaria,s,,bad,,,"Avenida Universitaria, Lima Lima",,,,x,,,,,Morning,,2018-04-23 20:28:47.793+00,http://api.crowdspot.com.au/api/v2/admin/datasets/freetobelima/places/94147,session:fe7d83c4896816204c53eb432907deed,true
